model,group,n_seeds,seeds,n_rows,n_structures,RMSE_mean,RMSE_sd,MAE_mean,MAE_sd,pooled_PCC_mean,pooled_PCC_sd,macro_within_structure_PCC_mean,macro_within_structure_PCC_sd,centered_pooled_PCC_mean,centered_pooled_PCC_sd,structure_mean_PCC_mean,structure_mean_PCC_sd,fixed_cell_PCC_mean,fixed_cell_PCC_sd
scratch,all_41,3,"42,123,2026",42448,41,2.953155592008379,0.2400016770472022,2.1701131692290536,0.1511296799493494,0.2743055523008846,0.1617236069533405,0.4303690896183401,0.0081235999135381,0.3741762346123772,0.0150567149919414,0.3134723445206599,0.1986426521712874,0.2485684044224575,0.1897539738531699
scratch,lincs_exposed_23,3,"42,123,2026",21317,23,2.7783916115128027,0.4720151117399677,2.0420184088928166,0.278376145587135,0.2759668615749015,0.2968353527466972,0.4568102172345507,0.0069118232074455,0.4008169570556201,0.0056850656365472,0.2317569765403107,0.3835387374504104,0.1987073049892785,0.3398748382511571
scratch,lincs_unexposed_18,3,"42,123,2026",21131,18,3.107691859944273,0.0417791607112121,2.299335449579608,0.0257186356962276,0.2854570715982449,0.0715034295555978,0.39658320433096,0.0098335887117936,0.3468861321154168,0.0262868113759929,0.4034660542478566,0.0788507189008786,0.3060885684891242,0.0773735267952388
pretrained,all_41,3,"42,123,2026",42448,41,2.923084659521731,0.1073871681627167,2.233129404511644,0.056445549025751,0.2696152603763844,0.0963220198893538,0.4217046245142089,0.0087449029997854,0.3627948193085947,0.0021145996139394,0.1813817526949889,0.1131968795172947,0.1890747189309086,0.0936093467772944
pretrained,lincs_exposed_23,3,"42,123,2026",21317,23,2.6423069692320778,0.0536346326501781,2.0540315509219886,0.084426195334225,0.3631611507468867,0.0296610297083166,0.4369877168355269,0.0039004298279061,0.3766329839898004,0.0174104188848918,0.2520090852270389,0.0236336116327218,0.2723745166073603,0.0179847955738658
pretrained,lincs_unexposed_18,3,"42,123,2026",21131,18,3.17973820764044,0.1881105311447297,2.413803719261097,0.0799694746864392,0.1776587609566274,0.1733766916108848,0.4021762287703028,0.0231825962846248,0.3504768715181,0.016310921745183,0.1064580802582046,0.2218755344969296,0.0684261655097558,0.1914049880549256
