group,n_pairs,seeds,delta_RMSE_mean,delta_RMSE_sd,delta_MAE_mean,delta_MAE_sd,delta_pooled_PCC_mean,delta_pooled_PCC_sd,delta_macro_within_structure_PCC_mean,delta_macro_within_structure_PCC_sd,delta_centered_pooled_PCC_mean,delta_centered_pooled_PCC_sd,delta_structure_mean_PCC_mean,delta_structure_mean_PCC_sd,delta_fixed_cell_PCC_mean,delta_fixed_cell_PCC_sd
all_41,3,"42,123,2026",-0.0300709324866484,0.191633826073074,0.0630162352825904,0.0948561117828832,-0.0046902919245001,0.159684556608693,-0.0086644651041311,0.0164987140021975,-0.0113814153037825,0.0161517668780631,-0.132090591825671,0.2255333819442398,-0.0594936854915488,0.1969571046433522
lincs_exposed_23,3,"42,123,2026",-0.1360846422807247,0.4216632311693485,0.0120131420291718,0.2191381330788919,0.0871942891719852,0.2738491481741187,-0.0198225003990238,0.0036191593023163,-0.0241839730658196,0.0121913910713187,0.0202521086867282,0.3721754487350703,0.0736672116180817,0.3254441206566669
lincs_unexposed_18,3,"42,123,2026",0.0720463476961666,0.1734317116405068,0.1144682696814888,0.0578352824888041,-0.1077983106416174,0.1922046177858626,0.0055930244393428,0.0329668495519661,0.0035907394026831,0.0415965862696787,-0.297007973989652,0.254408358012105,-0.2376624029793683,0.2174375249247281
