mode,seed,cell_mean_alignment_pcc,drug_mean_alignment_pcc,two_way_residual_interaction_pcc,prediction_variance,prediction_cell_only_r2,prediction_drug_only_r2,prediction_cell_plus_drug_r2,prediction_residual_fraction_after_additive,prediction_additive_residual_sd
scratch,42,0.9000680478269597,0.5388644763233305,0.08774014080202067,3.685783090267146,0.11303848619966783,0.858936908656885,0.9688190558476946,0.0311809441523054,0.3390076646554344
scratch,123,0.8679402782208094,0.2224108694344162,0.0514817202020616,2.1781908993694956,0.18435010406811814,0.7824958877252102,0.9487893498320682,0.05121065016793181,0.3339858861487773
scratch,2026,0.9046073421970553,0.16861737766902093,0.02422578344193573,2.042364571817466,0.20448265000966104,0.7435039937903727,0.9411309409629139,0.058869059037086044,0.3467449791324675
pretrained,42,0.8995012767390491,0.16647343682586468,0.06609423678741352,2.037834943103413,0.20676869909747853,0.6671551400408962,0.8749142442433572,0.12508575575664285,0.5048803065731379
pretrained,123,0.881192280106723,0.299249657704183,0.03008242659504485,3.443705859849918,0.2299086383659169,0.6978338926593126,0.9324200831055823,0.06757991689441763,0.4824161645482834
pretrained,2026,0.8320262182772326,0.07323372647837359,0.04774231555248833,2.7886953713624876,0.1295720720678245,0.827555327248238,0.9581906403424478,0.04180935965755219,0.34145800291784834
