structure,pcc,model,seed
O=C(CCCCCCNC(=O)c1cnc(N(c2ccccc2)c2ccccc2)nc1)NO,0.4989672748346155,Ridge,42
O=C(NCC(O)CN1CCc2ccccc2C1)c1ccnc(NC2CCC2)c1,0.5232293772544379,Ridge,42
O=C1NC(=O)C(=Cc2ccc3nccnc3c2)S1,0.3899609209743237,Ridge,42
Oc1c(F)cc(-c2cnccc2-c2ccc(N3CCOCC3)cc2)cc1F,0.5287543693106901,Ridge,42
C=C1C(=O)OC2C1C(OC(=O)C=C(C)C)CC1=CC(CC3(C)OC23)OC1=O,0.5555276370577701,Random Forest,42
C=C1C(=O)O[C@@H]2C3O[C@@]3(C)CCC=C(C)CC[C@@H]12,0.5011914494832114,Random Forest,42
CC(=O)Nc1cccc(-n2c(=O)n(C3CC3)c(=O)c3c(Nc4ccc(I)cc4F)n(C)c(=O)c(C)c32)c1,0.1848868128690652,Random Forest,42
CC(=O)c1c(C)c2cnc(Nc3ccc(N4CCNCC4)cn3)nc2n(C2CCCC2)c1=O,0.3590620676678837,Random Forest,42
CC(C)CC(=O)Nc1n[nH]c2c1CN(C(=O)C1CCN(C)CC1)C2(C)C,0.6624488632252086,Random Forest,42
CC(C)C[C@@H](NC(=O)[C@@H](Cc1ccccc1)NC(=O)C1=CNC=CN1)B(O)O,0.4299185164942092,Random Forest,42
CC(C)Nc1cc(-c2c[nH]c(C(=O)NC(CO)c3cccc(Cl)c3)c2)c(Cl)cn1,0.5071906810269555,Random Forest,42
CC(c1ccc2nccn2c1)n1nnc2ncc(-c3cnn(C)c3)nc21,0.427291929022649,Random Forest,42
CCCC=CC=CC(=O)OC1C(=CC(=O)OC)CC2CC(C(C)O)OC(=O)CC(O)CC3CC(OC(C)=O)C(C)(C)C(O)(CC4CC(=CC(=O)OC)CC(C=CC(C)(C)C1(O)O2)O4)O3,0.3607104184804943,Random Forest,42
CCCCC(C=O)NC(=O)C(CC(C)C)NC(=O)C(CC(C)C)NC(=O)OCc1ccccc1,0.6704403325012811,Random Forest,42
CCCCCCCCc1ccc(CCC(N)(CO)CO)cc1.Cl,0.4002758880263855,Random Forest,42
CCNC(=O)Nc1ncc(-c2cc(-c3c(C)cc(OC)cc3C)nc(-c3cnccn3)n2)s1,0.3812279989606351,Random Forest,42
CN(C)CC=CC(=O)Nc1cccc(C(=O)Nc2cccc(Nc3nccc(-c4cccnc4)n3)c2)c1,0.4207012436685247,Random Forest,42
CN1CCC(c2c(O)cc(O)c3c(=O)cc(-c4ccccc4Cl)oc23)C(O)C1,0.5404062689878231,Random Forest,42
CNC(=O)CN1CCC(Oc2cc3c(Nc4cccc(Cl)c4F)ncnc3cc2OC)CC1,0.203772095038517,Random Forest,42
CNC(C)C(=O)NC(C(=O)N1CCCC1C(=O)NC1c2ccccc2CC1OCC#CC#CCOC1Cc2ccccc2C1NC(=O)C1CCCN1C(=O)C(NC(=O)C(C)NC)C1CCCCC1)C1CCCCC1,0.4071733871195623,Random Forest,42
COC(=O)CNC(=O)C(=O)OC,0.3246223423631078,Random Forest,42
COCCn1c2c([n+](Cc3cnccn3)c1C)C(=O)c1ccccc1C2=O.[Br-],0.205812894060188,Random Forest,42
COc1cc(/C=C/C(=O)N2CCC=CC2=O)cc(OC)c1OC,0.3055548924016487,Random Forest,42
COc1cc([C@@H]2c3cc4c(cc3C(O[C@@H]3O[C@@H]5CO[C@@H](c6cccs6)OC5[C@H](O)[C@H]3O)C3COC(=O)[C@@H]32)OCO4)cc(OC)c1O,0.7024130984989615,Random Forest,42
COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1OC(=O)N1CCN(C)CC1C,0.3370976461190159,Random Forest,42
COc1nc(N)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1O,0.7937420701139472,Random Forest,42
CS(=O)(=O)c1ccc(-c2cnc(N)c(C(=O)Nc3ccccc3)n2)cc1,0.687501879981007,Random Forest,42
C[C@@]1(C(=O)Nc2ccc(F)nc2)CCCN1c1nc(Nc2cc(C3CC3)n[nH]2)c2cccn2n1,0.3828223698894464,Random Forest,42
Cc1cc(N2CC(C)NC(C)C2)ncc1-c1ccc(-c2nc3c(ccn3C)c(=O)[nH]2)cc1,0.5093131294275052,Random Forest,42
Cc1cc(Nc2cc(N3CCN(C)CC3)nc(Sc3ccc(NC(=O)C4CC4)cc3)n2)n[nH]1,0.4661072135114565,Random Forest,42
Cc1cc(Nc2nc(N[C@@H](C)c3ccc(F)cc3)c(C#N)cc2F)n[nH]1,0.6643880041422459,Random Forest,42
Cc1ccc(C(=O)Nc2cccc(C(F)(F)F)c2)cc1Nc1nc(-c2cccnc2)nc2c1cnn2C,0.7576822432148596,Random Forest,42
Cc1ccc(Nc2nccc(N(C)c3ccc4c(C)n(C)nc4c3)n2)cc1S(N)(=O)=O,0.3060290446928967,Random Forest,42
Cc1ccc2nc(NC(=O)CSc3nc4c(c(=O)n3-c3ccccc3)SCC4)sc2c1,0.6416408716041756,Random Forest,42
Cc1ncc(-c2ccnc(Nc3ccc(S(C)(=O)=O)cc3)n2)n1C(C)C,0.28071927555026,Random Forest,42
Cc1sc2c(c1C)C(c1ccc(Cl)cc1)=NC(CC(=O)OC(C)(C)C)c1nnc(C)n1-2,0.4338610790039751,Random Forest,42
Cn1cncc1[C@](N)(c1ccc(Cl)cc1)c1ccc2c(c1)c(-c1cccc(Cl)c1)cc(=O)n2C,0.3859115903999602,Random Forest,42
NC(=O)Nc1sc(-c2ccc(F)cc2)cc1C(N)=O,0.6136106194555723,Random Forest,42
NCC(O)(c1ccc(Cl)cc1)c1ccc(-c2cn[nH]c2)cc1,0.5380153592348252,Random Forest,42
NCCOc1cc(C(=O)Nc2cc(OCCN)c3ccccc3n2)nc(C(=O)Nc2cc(OCCN)c3ccccc3n2)c1,0.5499210806641466,Random Forest,42
Nc1cccc(-c2cc3c(Oc4cccc(O)c4)ncnc3[nH]2)c1,0.4582941916437789,Random Forest,42
O=C(CCCCCCNC(=O)c1cnc(N(c2ccccc2)c2ccccc2)nc1)NO,0.6099581959953599,Random Forest,42
O=C(NCC(O)CN1CCc2ccccc2C1)c1ccnc(NC2CCC2)c1,0.511696336196794,Random Forest,42
O=C1NC(=O)C(=Cc2ccc3nccnc3c2)S1,0.3995351797118224,Random Forest,42
Oc1c(F)cc(-c2cnccc2-c2ccc(N3CCOCC3)cc2)cc1F,0.5717178475497762,Random Forest,42
C=C1C(=O)OC2C1C(OC(=O)C=C(C)C)CC1=CC(CC3(C)OC23)OC1=O,0.6235654913277574,XGBoost,42
C=C1C(=O)O[C@@H]2C3O[C@@]3(C)CCC=C(C)CC[C@@H]12,0.4355994714700392,XGBoost,42
CC(=O)Nc1cccc(-n2c(=O)n(C3CC3)c(=O)c3c(Nc4ccc(I)cc4F)n(C)c(=O)c(C)c32)c1,0.035479801343861,XGBoost,42
CC(=O)c1c(C)c2cnc(Nc3ccc(N4CCNCC4)cn3)nc2n(C2CCCC2)c1=O,0.3238177505222405,XGBoost,42
CC(C)CC(=O)Nc1n[nH]c2c1CN(C(=O)C1CCN(C)CC1)C2(C)C,0.6533981771220269,XGBoost,42
CC(C)C[C@@H](NC(=O)[C@@H](Cc1ccccc1)NC(=O)C1=CNC=CN1)B(O)O,0.3800874975416119,XGBoost,42
CC(C)Nc1cc(-c2c[nH]c(C(=O)NC(CO)c3cccc(Cl)c3)c2)c(Cl)cn1,0.4184852665337539,XGBoost,42
CC(c1ccc2nccn2c1)n1nnc2ncc(-c3cnn(C)c3)nc21,0.3985850463822516,XGBoost,42
CCCC=CC=CC(=O)OC1C(=CC(=O)OC)CC2CC(C(C)O)OC(=O)CC(O)CC3CC(OC(C)=O)C(C)(C)C(O)(CC4CC(=CC(=O)OC)CC(C=CC(C)(C)C1(O)O2)O4)O3,0.3275935786517815,XGBoost,42
CCCCC(C=O)NC(=O)C(CC(C)C)NC(=O)C(CC(C)C)NC(=O)OCc1ccccc1,0.4149302317530642,XGBoost,42
CCCCCCCCc1ccc(CCC(N)(CO)CO)cc1.Cl,0.385566839846426,XGBoost,42
CCNC(=O)Nc1ncc(-c2cc(-c3c(C)cc(OC)cc3C)nc(-c3cnccn3)n2)s1,0.3430022366210649,XGBoost,42
CN(C)CC=CC(=O)Nc1cccc(C(=O)Nc2cccc(Nc3nccc(-c4cccnc4)n3)c2)c1,0.2758104214055834,XGBoost,42
CN1CCC(c2c(O)cc(O)c3c(=O)cc(-c4ccccc4Cl)oc23)C(O)C1,0.5088808499372278,XGBoost,42
CNC(=O)CN1CCC(Oc2cc3c(Nc4cccc(Cl)c4F)ncnc3cc2OC)CC1,0.0555763292746687,XGBoost,42
CNC(C)C(=O)NC(C(=O)N1CCCC1C(=O)NC1c2ccccc2CC1OCC#CC#CCOC1Cc2ccccc2C1NC(=O)C1CCCN1C(=O)C(NC(=O)C(C)NC)C1CCCCC1)C1CCCCC1,0.3549377230775357,XGBoost,42
COC(=O)CNC(=O)C(=O)OC,0.3290584791880288,XGBoost,42
COCCn1c2c([n+](Cc3cnccn3)c1C)C(=O)c1ccccc1C2=O.[Br-],0.2280431213467323,XGBoost,42
COc1cc(/C=C/C(=O)N2CCC=CC2=O)cc(OC)c1OC,0.3126161146060923,XGBoost,42
COc1cc([C@@H]2c3cc4c(cc3C(O[C@@H]3O[C@@H]5CO[C@@H](c6cccs6)OC5[C@H](O)[C@H]3O)C3COC(=O)[C@@H]32)OCO4)cc(OC)c1O,0.7260671832455556,XGBoost,42
COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1OC(=O)N1CCN(C)CC1C,0.2653022175099077,XGBoost,42
COc1nc(N)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1O,0.7476871551685836,XGBoost,42
CS(=O)(=O)c1ccc(-c2cnc(N)c(C(=O)Nc3ccccc3)n2)cc1,0.664354764713147,XGBoost,42
C[C@@]1(C(=O)Nc2ccc(F)nc2)CCCN1c1nc(Nc2cc(C3CC3)n[nH]2)c2cccn2n1,0.3229423933944729,XGBoost,42
Cc1cc(N2CC(C)NC(C)C2)ncc1-c1ccc(-c2nc3c(ccn3C)c(=O)[nH]2)cc1,0.4803463627937717,XGBoost,42
Cc1cc(Nc2cc(N3CCN(C)CC3)nc(Sc3ccc(NC(=O)C4CC4)cc3)n2)n[nH]1,0.560836901645568,XGBoost,42
Cc1cc(Nc2nc(N[C@@H](C)c3ccc(F)cc3)c(C#N)cc2F)n[nH]1,0.6384231966179348,XGBoost,42
Cc1ccc(C(=O)Nc2cccc(C(F)(F)F)c2)cc1Nc1nc(-c2cccnc2)nc2c1cnn2C,0.6089569179575246,XGBoost,42
Cc1ccc(Nc2nccc(N(C)c3ccc4c(C)n(C)nc4c3)n2)cc1S(N)(=O)=O,0.2268832892186426,XGBoost,42
Cc1ccc2nc(NC(=O)CSc3nc4c(c(=O)n3-c3ccccc3)SCC4)sc2c1,0.6679732862516926,XGBoost,42
Cc1ncc(-c2ccnc(Nc3ccc(S(C)(=O)=O)cc3)n2)n1C(C)C,0.2080633246294815,XGBoost,42
Cc1sc2c(c1C)C(c1ccc(Cl)cc1)=NC(CC(=O)OC(C)(C)C)c1nnc(C)n1-2,0.4395178792752671,XGBoost,42
Cn1cncc1[C@](N)(c1ccc(Cl)cc1)c1ccc2c(c1)c(-c1cccc(Cl)c1)cc(=O)n2C,0.3401167250230034,XGBoost,42
NC(=O)Nc1sc(-c2ccc(F)cc2)cc1C(N)=O,0.6150384780929173,XGBoost,42
NCC(O)(c1ccc(Cl)cc1)c1ccc(-c2cn[nH]c2)cc1,0.5038656622154558,XGBoost,42
NCCOc1cc(C(=O)Nc2cc(OCCN)c3ccccc3n2)nc(C(=O)Nc2cc(OCCN)c3ccccc3n2)c1,0.590807907206146,XGBoost,42
Nc1cccc(-c2cc3c(Oc4cccc(O)c4)ncnc3[nH]2)c1,0.3243004868339283,XGBoost,42
O=C(CCCCCCNC(=O)c1cnc(N(c2ccccc2)c2ccccc2)nc1)NO,0.5327699215126603,XGBoost,42
O=C(NCC(O)CN1CCc2ccccc2C1)c1ccnc(NC2CCC2)c1,0.5405556750539905,XGBoost,42
O=C1NC(=O)C(=Cc2ccc3nccnc3c2)S1,0.4171382794818953,XGBoost,42
Oc1c(F)cc(-c2cnccc2-c2ccc(N3CCOCC3)cc2)cc1F,0.5767205354876843,XGBoost,42
C=C1C(=O)OC2C1C(OC(=O)C=C(C)C)CC1=CC(CC3(C)OC23)OC1=O,0.7106302686005418,Global MLP,42
C=C1C(=O)O[C@@H]2C3O[C@@]3(C)CCC=C(C)CC[C@@H]12,0.4002935047070317,Global MLP,42
CC(=O)Nc1cccc(-n2c(=O)n(C3CC3)c(=O)c3c(Nc4ccc(I)cc4F)n(C)c(=O)c(C)c32)c1,0.5014829767287945,Global MLP,42
CC(=O)c1c(C)c2cnc(Nc3ccc(N4CCNCC4)cn3)nc2n(C2CCCC2)c1=O,0.3257528293402513,Global MLP,42
CC(C)CC(=O)Nc1n[nH]c2c1CN(C(=O)C1CCN(C)CC1)C2(C)C,0.6013128020513789,Global MLP,42
CC(C)C[C@@H](NC(=O)[C@@H](Cc1ccccc1)NC(=O)C1=CNC=CN1)B(O)O,0.4461778590498335,Global MLP,42
CC(C)Nc1cc(-c2c[nH]c(C(=O)NC(CO)c3cccc(Cl)c3)c2)c(Cl)cn1,0.4683831920063679,Global MLP,42
CC(c1ccc2nccn2c1)n1nnc2ncc(-c3cnn(C)c3)nc21,0.3817374219812395,Global MLP,42
CCCC=CC=CC(=O)OC1C(=CC(=O)OC)CC2CC(C(C)O)OC(=O)CC(O)CC3CC(OC(C)=O)C(C)(C)C(O)(CC4CC(=CC(=O)OC)CC(C=CC(C)(C)C1(O)O2)O4)O3,0.2440926197968846,Global MLP,42
CCCCC(C=O)NC(=O)C(CC(C)C)NC(=O)C(CC(C)C)NC(=O)OCc1ccccc1,0.681301761707225,Global MLP,42
CCCCCCCCc1ccc(CCC(N)(CO)CO)cc1.Cl,0.3809739126724881,Global MLP,42
