run	mode	optimization_seed	best_epoch	rmse	mae	pooled_pcc	macro_per_drug_pcc	public_report
final_cellblind_pretrained_full_s42_bs32_v3	pretrained	42	8	1.4218329021600253	1.0650571646632199	0.8599826976630317	0.28627601173879574	reproducibility/reports/cell_blind/final_cellblind_pretrained_full_s42_bs32_v3.report.json
final_cellblind_pretrained_full_s123_bs32_v3	pretrained	123	12	1.4056224578693886	1.0461968784218465	0.8648318304911543	0.3215225199806371	reproducibility/reports/cell_blind/final_cellblind_pretrained_full_s123_bs32_v3.report.json
final_cellblind_pretrained_full_s2026_bs32_v3	pretrained	2026	9	1.4055455947320488	1.0543227383012663	0.8642311614860559	0.3214511020576527	reproducibility/reports/cell_blind/final_cellblind_pretrained_full_s2026_bs32_v3.report.json
final_cellblind_scratch_full_s42_bs32_v3	scratch	42	12	1.3962336359121197	1.0442642371184332	0.8638761763403676	0.32447770142269355	reproducibility/reports/cell_blind/final_cellblind_scratch_full_s42_bs32_v3.report.json
