model,n_structures,mean,sd,median,q25,q75,min,max
Ridge,41,0.43997189536428716,0.14453136033839015,0.4073077074831966,0.36164612346854885,0.5383259400683211,0.00790039086783388,0.6939211831938975
Random Forest,41,0.47439497670870506,0.1525169283937326,0.45829419164377894,0.3812279989606351,0.5717178475497762,0.1848868128690652,0.7937420701139472
XGBoost,41,0.43423665783612136,0.17115508596138584,0.4171382794818953,0.3243004868339283,0.5767205354876843,0.035479801343861,0.7476871551685836
Global MLP,41,0.4591213894512302,0.14446018033902272,0.4472460224064007,0.366469387411326,0.5375848062965578,0.193355629325444,0.7979028913043722
CSG2A,41,0.4667060491989618,0.13758225491092105,0.4606169381623738,0.3611564827352651,0.5377287474507847,0.2342591981385307,0.822005729245138
DRT scratch,41,0.43036908961834014,0.14603625231909984,0.3992410540774638,0.32583403684906315,0.5318113997497546,0.09412254126310837,0.6802413211259054
DRT pretrained,41,0.42170462451420904,0.1335456442755402,0.3920024508373519,0.3361589782574284,0.5274461554885153,0.12733613530602428,0.6484909472190019
